Id,sum_appearance,percent
I,6107,0.15894953280757917
I+,12,0.00031232919497149996
I42,6,0.00015616459748574998
I43,3,7.808229874287499e-05
I6,140,0.003643840608000833
I64,38,0.0009890424507430831
I7,106,0.002758907888914916
I9,8,0.00020821946331433332
II,1086,0.028265792144920747
II42,1,2.6027432914291665e-05
II6,20,0.0005205486582858333
II64,6,0.00015616459748574998
II7,126,0.0032794565472007496
II9,4,0.00010410973165716666
III,2208,0.05746857187475599
III6,11,0.0002863017620572083
III64,14,0.00036438406080008327
III7,60,0.0015616459748574998
IIIM43,22,0.0005726035241144166
IIIM7,58,0.0015095911090289166
IIM7,36,0.0009369875849144999
IM7,88,0.0022904140964576662
IV,4789,0.12464537622654277
IV+,5,0.00013013716457145833
IV6,136,0.003539730876343666
IV64,90,0.0023424689622862497
IV7,81,0.0021082220660576245
IVM43,5,0.00013013716457145833
IVM7,86,0.002238359230629083
IVM9,11,0.0002863017620572083
V,4454,0.11592618620025506
V+,21,0.0005465760912001249
V+7,1,2.6027432914291665e-05
V43,1,2.6027432914291665e-05
V6,228,0.005934254704458499
V64,18,0.00046849379245724994
V65,10,0.00026027432914291665
V7,337,0.00877124489211629
VI,2477,0.06446995132870045
VI+,6,0.00015616459748574998
VI6,25,0.0006506858228572915
VI64,40,0.0010410973165716666
VI7,49,0.0012753442128002916
VII,2400,0.06246583899429999
VII6,97,0.0025246609926862914
VII64,15,0.00039041149371437495
VII65,7,0.00018219203040004164
VII7,24,0.0006246583899429999
VII9,13,0.00033835662788579164
VIIM7,2,5.205486582858333e-05
VIIM9,18,0.00046849379245724994
VIM7,110,0.002863017620572083
VM7,16,0.00041643892662866663
i,2829,0.07363160771453112
i42,5,0.00013013716457145833
i43,1,2.6027432914291665e-05
i6,13,0.00033835662788579164
i7,189,0.004919184820801124
i9,24,0.0006246583899429999
ii,1168,0.030400041643892664
ii42,6,0.00015616459748574998
ii7,249,0.006480830795658624
ii9,1,2.6027432914291665e-05
iiM7,12,0.00031232919497149996
iii,704,0.01832331277166133
iii6,4,0.00010410973165716666
iii64,5,0.00013013716457145833
iii7,40,0.0010410973165716666
iii9,1,2.6027432914291665e-05
iii°,1,2.6027432914291665e-05
iiiø7,4,0.00010410973165716666
iv,704,0.01832331277166133
iv11,6,0.00015616459748574998
iv64,23,0.0005986309570287083
iv7,19,0.0004945212253715416
iv°,4,0.00010410973165716666
v,580,0.015095911090289165
v42,1,2.6027432914291665e-05
v6,21,0.0005465760912001249
v7,54,0.0014054813773717498
vi,2220,0.05778090106972749
vi42,36,0.0009369875849144999
vi64,3,7.808229874287499e-05
vi7,262,0.006819187423544416
vi9,3,7.808229874287499e-05
viM7,3,7.808229874287499e-05
vii,220,0.005726035241144166
vii6,3,7.808229874287499e-05
vii7,15,0.00039041149371437495
vii°,5,0.00013013716457145833
viiø7,4,0.00010410973165716666
vi°,2,5.205486582858333e-05
vi°7,3,7.808229874287499e-05
v°7,3,7.808229874287499e-05
♭I,1,2.6027432914291665e-05
♭II,269,0.007001379453944458
♭II+,7,0.00018219203040004164
♭II7,3,7.808229874287499e-05
♭III,389,0.010124671403659457
♭III6,5,0.00013013716457145833
♭III64,3,7.808229874287499e-05
♭III7,3,7.808229874287499e-05
♭III9,1,2.6027432914291665e-05
♭IIIM7,3,7.808229874287499e-05
♭IIM7,14,0.00036438406080008327
♭IV,8,0.00020821946331433332
♭IV7,3,7.808229874287499e-05
♭V,46,0.0011972619140574166
♭VI,401,0.010437000598630957
♭VI+,3,7.808229874287499e-05
♭VI7,9,0.00023424689622862497
♭VII,611,0.015902761510632208
♭VII6,11,0.0002863017620572083
♭VII64,54,0.0014054813773717498
♭VII7,14,0.00036438406080008327
♭VIIM7,3,7.808229874287499e-05
♭ii,11,0.0002863017620572083
♭iii,26,0.0006767132557715833
♭iii°7,4,0.00010410973165716666
♭ii°,1,2.6027432914291665e-05
♭iiø7,4,0.00010410973165716666
♭iv,14,0.00036438406080008327
♭vi,9,0.00023424689622862497
♭vii,46,0.0011972619140574166
♭vii64,26,0.0006767132557715833
♭vii°,2,5.205486582858333e-05
♭viiø7,3,7.808229874287499e-05
♭vi°,4,0.00010410973165716666
♯I,83,0.002160276931886208
♯I+,2,5.205486582858333e-05
♯I7,33,0.0008589052861716249
♯II,26,0.0006767132557715833
♯II7,2,5.205486582858333e-05
♯III,13,0.00033835662788579164
♯III+,3,7.808229874287499e-05
♯IM7,1,2.6027432914291665e-05
♯IV,108,0.0028109627547434997
♯IV+,4,0.00010410973165716666
♯IV7,14,0.00036438406080008327
♯V,94,0.0024465786939434162
♯V7,32,0.0008328778532573333
♯VI,26,0.0006767132557715833
♯VI7,17,0.00044246635954295826
♯VII,22,0.0005726035241144166
♯VII+,3,7.808229874287499e-05
♯VII64,8,0.00020821946331433332
♯VII9,2,5.205486582858333e-05
♯VM7,35,0.0009109601520002083
♯i,153,0.003982197235886624
♯i64,3,7.808229874287499e-05
♯i7,9,0.00023424689622862497
♯ii,34,0.0008849327190859165
♯iii,59,0.001535618541943208
♯iii°7,3,7.808229874287499e-05
♯ii°,1,2.6027432914291665e-05
♯iv,190,0.004945212253715416
♯iv7,15,0.00039041149371437495
♯iv°,3,7.808229874287499e-05
♯iv°7,3,7.808229874287499e-05
♯ivø7,2,5.205486582858333e-05
♯i°7,8,0.00020821946331433332
♯v,17,0.00044246635954295826
♯vi,61,0.0015876734077717915
♯vi7,2,5.205486582858333e-05
♯vii7,1,2.6027432914291665e-05
♯vii°7,20,0.0005205486582858333
♯viiø7,4,0.00010410973165716666
♯vi°,1,2.6027432914291665e-05
♯viø7,47,0.0012232893469717081
♯v°,9,0.00023424689622862497
𝄪VI,31,0.0008068504203430415
𝄪iv,18,0.00046849379245724994
𝄪vii,6,0.00015616459748574998
